4,Putri Sudirman,putri.sudirman@gmail.com,+6288152553419,02-12-19,Aktif
6,Zulfa Tambunan,zulfa.tambunan@gmail.com,6288749696532,2023-09-19,active
9,ERFAN SUDIRMAN,erfan.sudirman272@gmail.com,6285246578713,09/07/2020,active
10,Andi Karo,andikaro@gmail.com,08121834738,26-06-19,inactive
11,Jasmine Simbolon,jasmine_simbolon@gmail.com,628786670106,21/10/2021,active
12,Kurnia Saputra,kurnia.saputra286@gmail.com,088110801326,2023-06-13,active
14,Fira Rahayu,andikaro@gmail.com,+6288520812191,2020-08-21,active
18,Dinda Handoko,dinda_handoko@gmail.com,628780052427,09-03-24,inactive
19,HesTI SanToso,zulfa.tambunan@gmail.com,085315869232,2019-12-27,active
20,Joko Rizky,joko_rizky@gmail.com,08210733754,21/07/2020,active
22,Edy Fauzi,edyfauzi@gmail.com,0878883561,14-09-21,active
27,Arif Permana,arif_permana851@gmail.com,628824348734,07/12/2022,Active
28,Qori Hartono,qorihartono@gmail.com,+6282231665876,13/09/2018,inactive
29,Jihan Sudirman,jihan_sudirman@gmail.com,+628778893734,2022-11-21,active
30,Jihan Nasution,jihan.nasution861@gmail.com,62887699016,2019-07-10,active
31,Hendra Wahyudi,hendra-wahyudi346@gmail.com,+62856708053,09-10-18,active
33,Eko Sudirman,ekosudirman@gmail.com,628773193149,11-05-19,acitve
34,Ani Lubis,anilubis519@gmail.com,+62882657262,08-11-23,active
35,Opik Soekarno,opik_soekarno447@gmail.com,08137379965,2018-04-28,active
37,Yunus Batubara,yunus.batubara@gmail.com,628897885685,12-12-21,inactive
39,Xena Gunawan,xena.gunawan@gmail.com,6285727109477,2022-12-10,active
40,Hendra Wahyudi,hendrawahyudi411@gmail.com,62812294131,2024-04-04,banned
41,Mira Soeharto,mira_soeharto462@gmail.com,628789909133,19-12-20,active
43,SARI SItorus,sari-sitorus717@gmail.com,628877190659,22/10/2020,active
47,Nando Soekarno,nandosoekarno566@gmail.com,08211274846,2023-05-31,active
48,TONO GINTING,tono.ginting@gmail.com,+6285840449972,04-01-23,inactive
49,Edy Nasution,edy_nasution956@gmail.com,6285363605766,2019-09-16,active
50,Fajar Purba,fajarpurba896@gmail.com,62881262174,18-10-21,banned
52,Hadi Hartono,hadi.hartono@gmail.com,6287737923747,11-11-20,active
55,LeStArI AngIn,lestari-angin544@gmail.com,+628825171236,2024-04-01,active
57,Agus Angin,agus-angin665@gmail.com,0812471138,2019-07-10,inactive
58,Hana Firmansyah,hana_firmansyah@gmail.com,628219640537,27/12/2022,active
59,Doni Kurniawan,doni-kurniawan63@gmail.com,08211390053,31-05-19,active
