id,nama,email,no_hp,tanggal_daftar,status
1,Eko Wijaya,eko.wijaya@hotmail.com,0887960013,10-08-20,banned
2,Dewi Ginting,dewi_ginting226@yahoo.com,+62811654235,23/02/2019,active
3,Doni Lubis,donilubis748@yahoo.com,0877849593,12/10/2018,banned
4,Putri Sudirman,putri.sudirman@gmail.com,+6288152553419,02-12-19,Aktif
5,Rosi Nugroho,rosi.nugroho702@icloud.com,0853564139,12/07/2021,banned
6,Zulfa Tambunan,zulfa.tambunan@gmail.com,6288749696532,2023-09-19,active
7,HendRa SoebAgyo,hendra-soebagyo115@yahoo.com,0881482814,11-09-23,active
8,Nurul Panjaitan,nurulpanjaitan614@yahoo.com,08214303911,14/06/2023,inaktif
9,ERFAN SUDIRMAN,erfan.sudirman272@gmail.com,6285246578713,09/07/2020,active
10,Andi Karo,andikaro@gmail.com,08121834738,26-06-19,inactive
11,Jasmine Simbolon,jasmine_simbolon@gmail.com,628786670106,21/10/2021,active
12,Kurnia Saputra,kurnia.saputra286@gmail.com,088110801326,2023-06-13,active
13,Laila Rahayu,hendra-soebagyo115@yahoo.com,+628816872343,28-08-18,actve
14,Fira Rahayu,andikaro@gmail.com,+6288520812191,2020-08-21,active
15,Ilham Hartono,dewi_ginting226@yahoo.com,+6288985435346,21-06-19,banned
16,Yogi Hasibuan,yogihasibuan10@yahoo.com,62821838425,09/10/2018,active
17,Qori Nugroho,qori-nugroho@hotmail.com,6285712411824,28-02-21,active
18,Dinda Handoko,dinda_handoko@gmail.com,628780052427,09-03-24,inactive
19,HesTI SanToso,zulfa.tambunan@gmail.com,085315869232,2019-12-27,active
20,Joko Rizky,joko_rizky@gmail.com,08210733754,21/07/2020,active
21,Kurnia Tambunan,kurnia-tambunan360@hotmail.com,62858142940,21-03-19,inactive
22,Edy Fauzi,edyfauzi@gmail.com,0878883561,14-09-21,active
23,Fitri Fauzi,fitri_fauzi335@hotmail.com,+62887366299,2021-05-17,inactive
24,Budi Siregar,budi-siregar477@yahoo.com,6285272148951,20-08-20,active
25,Maman Soekarno,nurulpanjaitan614@yahoo.com,+628136936763,28-08-19,banned
26,Budi Permana,budi_permana@hotmail.com,62881831727,16-12-23,banned
