id,nama,email,no_hp,tanggal_daftar,status
1,Eko Wijaya,eko.wijaya@hotmail.com,0887960013,2020-08-10,banned
2,Dewi Ginting,dewi_ginting226@yahoo.com,+62811654235,202023-02-19,active
3,Doni Lubis,donilubis748@yahoo.com,0877849593,202012-10-18,banned
4,Putri Sudirman,putri.sudirman@gmail.com,+6288152553419,2019-12-02,Aktif
5,Rosi Nugroho,rosi.nugroho702@icloud.com,0853564139,202012-07-21,banned
6,Zulfa Tambunan,zulfa.tambunan@gmail.com,6288749696532,202019-09-23,active
7,HendRa SoebAgyo,hendra-soebagyo115@yahoo.com,0881482814,2023-09-11,active
8,Nurul Panjaitan,nurulpanjaitan614@yahoo.com,08214303911,202014-06-23,inaktif
9,ERFAN SUDIRMAN,erfan.sudirman272@gmail.com,6285246578713,202009-07-20,active
10,Andi Karo,andikaro@gmail.com,08121834738,2019-06-26,inactive
11,Jasmine Simbolon,jasmine_simbolon@gmail.com,628786670106,202021-10-21,active
12,Kurnia Saputra,kurnia.saputra286@gmail.com,088110801326,202013-06-23,active
13,Laila Rahayu,hendra-soebagyo115@yahoo.com,+628816872343,2018-08-28,actve
14,Fira Rahayu,andikaro@gmail.com,+6288520812191,202021-08-20,active
15,Ilham Hartono,dewi_ginting226@yahoo.com,+6288985435346,2019-06-21,banned
16,Yogi Hasibuan,yogihasibuan10@yahoo.com,62821838425,202009-10-18,active
17,Qori Nugroho,qori-nugroho@hotmail.com,6285712411824,2021-02-28,active
18,Dinda Handoko,dinda_handoko@gmail.com,628780052427,2024-03-09,inactive
19,HesTI SanToso,zulfa.tambunan@gmail.com,085315869232,202027-12-19,active
20,Joko Rizky,joko_rizky@gmail.com,08210733754,202021-07-20,active
21,Kurnia Tambunan,kurnia-tambunan360@hotmail.com,62858142940,2019-03-21,inactive
22,Edy Fauzi,edyfauzi@gmail.com,0878883561,2021-09-14,active
23,Fitri Fauzi,fitri_fauzi335@hotmail.com,+62887366299,202017-05-21,inactive
24,Budi Siregar,budi-siregar477@yahoo.com,6285272148951,2020-08-20,active
25,Maman Soekarno,nurulpanjaitan614@yahoo.com,+628136936763,2019-08-28,banned
26,Budi Permana,budi_permana@hotmail.com,62881831727,2023-12-16,banned
27,Arif Permana,arif_permana851@gmail.com,628824348734,202007-12-22,Active
28,Qori Hartono,qorihartono@gmail.com,+6282231665876,202013-09-18,inactive
29,Jihan Sudirman,jihan_sudirman@gmail.com,+628778893734,202021-11-22,active
30,Jihan Nasution,jihan.nasution861@gmail.com,62887699016,202010-07-19,active
31,Hendra Wahyudi,hendra-wahyudi346@gmail.com,+62856708053,2018-10-09,active
32,Dewi Hartono,rosi.nugroho702@icloud.com,08221937452,2024-10-17,Banned
33,Eko Sudirman,ekosudirman@gmail.com,628773193149,2019-05-11,acitve
34,Ani Lubis,anilubis519@gmail.com,+62882657262,2023-11-08,active
35,Opik Soekarno,opik_soekarno447@gmail.com,08137379965,202028-04-18,active
36,Indah Nainggolan,indah-nainggolan287@yahoo.com,0885136783,2023-05-05,Active
37,Yunus Batubara,yunus.batubara@gmail.com,628897885685,2021-12-12,inactive
38,Panji Siregar,panji.siregar@rocketmail.com,62851374989,202005-03-21,active
39,Xena Gunawan,xena.gunawan@gmail.com,6285727109477,202010-12-22,active
40,Hendra Wahyudi,hendrawahyudi411@gmail.com,62812294131,202004-04-24,banned
41,Mira Soeharto,mira_soeharto462@gmail.com,628789909133,2020-12-19,active
42,Irwan Hartono,irwanhartono419@hotmail.com,628820344713,2020-12-19,banned
43,SARI SItorus,sari-sitorus717@gmail.com,628877190659,202022-10-20,active
44,Putri Kurniawan,putrikurniawan784@yahoo.com,08518742967,202009-01-19,active
45,Murti Nasution,murti.nasution338@hotmail.com,+6285768071545,202020-04-19,inactive
46,Budi Firmansyah,budifirmansyah193@yahoo.com,+62881348247,202009-06-23,active
47,Nando Soekarno,nandosoekarno566@gmail.com,08211274846,202031-05-23,active
48,TONO GINTING,tono.ginting@gmail.com,+6285840449972,2023-01-04,inactive
49,Edy Nasution,edy_nasution956@gmail.com,6285363605766,202016-09-19,active
50,Fajar Purba,fajarpurba896@gmail.com,62881262174,2021-10-18,banned
51,Karim SetiaDi,karim.setiadi@yahoo.com,08212400504,202008-01-22,inactive
52,Hadi Hartono,hadi.hartono@gmail.com,6287737923747,2020-11-11,active
53,Ulfa Mulyadi,ulfa_mulyadi968@yahoo.com,+6287847436713,2022-04-12,active
54,Jasmine Mulyadi,jasmine_mulyadi@yahoo.com,6281274395339,2020-10-23,ACTIVE
55,LeStArI AngIn,lestari-angin544@gmail.com,+628825171236,202001-04-24,active
56,Karim Santoso,karim-santoso689@yahoo.com,+62859370985,202003-11-24,banned
